check_name,failed_rows,check_timestamp
missing_parent_department,0,2026-01-10T14:20:57.237185+00:00
missing_organisation,0,2026-01-10T14:20:57.237185+00:00
missing_grade,0,2026-01-10T14:20:57.237185+00:00
missing_job_title,0,2026-01-10T14:20:57.237185+00:00
missing_office_region,0,2026-01-10T14:20:57.237185+00:00
invalid_fte_negative,0,2026-01-10T14:20:57.237185+00:00
invalid_fte_unrealistic,0,2026-01-10T14:20:57.237185+00:00
payscale_min_greater_than_max,0,2026-01-10T14:20:57.237185+00:00
missing_payscale,0,2026-01-10T14:20:57.237185+00:00
senior_role_low_pay,609,2026-01-10T14:20:57.237185+00:00
missing_parent_department,0,2026-01-09T20:30:24.954807+00:00
missing_organisation,0,2026-01-09T20:30:24.954807+00:00
missing_grade,0,2026-01-09T20:30:24.954807+00:00
missing_job_title,0,2026-01-09T20:30:24.954807+00:00
missing_office_region,0,2026-01-09T20:30:24.954807+00:00
invalid_fte_negative,0,2026-01-09T20:30:24.954807+00:00
invalid_fte_unrealistic,0,2026-01-09T20:30:24.954807+00:00
payscale_min_greater_than_max,0,2026-01-09T20:30:24.954807+00:00
missing_payscale,0,2026-01-09T20:30:24.954807+00:00
senior_role_low_pay,609,2026-01-09T20:30:24.954807+00:00
missing_parent_department,0,2026-01-09T20:24:06.502931
missing_organisation,0,2026-01-09T20:24:06.502931
missing_grade,0,2026-01-09T20:24:06.502931
missing_job_title,0,2026-01-09T20:24:06.502931
missing_office_region,0,2026-01-09T20:24:06.502931
invalid_fte_negative,0,2026-01-09T20:24:06.502931
invalid_fte_unrealistic,0,2026-01-09T20:24:06.502931
payscale_min_greater_than_max,0,2026-01-09T20:24:06.502931
missing_payscale,0,2026-01-09T20:24:06.502931
senior_role_low_pay,609,2026-01-09T20:24:06.502931
missing_parent_department,0,2026-01-09T20:22:01.469362
missing_organisation,0,2026-01-09T20:22:01.469362
missing_grade,0,2026-01-09T20:22:01.469362
missing_job_title,0,2026-01-09T20:22:01.469362
missing_office_region,0,2026-01-09T20:22:01.469362
negative_payscale_min,0,2026-01-09T20:22:01.469362
invalid_payscale_range,0,2026-01-09T20:22:01.469362
negative_fte,0,2026-01-09T20:22:01.469362
inconsistent_grade_pay,1,2026-01-09T20:22:01.469362
invalid_office_region,1442,2026-01-09T20:22:01.469362
zero_fte_organisation,0,2026-01-09T20:22:01.469362
