"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","Grade 6 - National","70854","78241","Manager - Enterprise Data for Access and Sharing 6-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","HEO - London","40132","42699","Higher Executive Officer - Data Science (ESFA) HEO-London","0.81","Other","London"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","HEO - National","36000","38229","Higher Executive Officer - Independent Education and School Safeguarding HEO-North East","6.89","Other","North East"
"Department for Education","Department for Education","Financial Reporting","DFE-2454","EO - National","31479","31479","Executive Officer - Financial Reporting EO-North East","2.00","Other","North East"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","EA - National","27244","27244","Executive Assistant - Customer Success & Shared Service Operations EA-North East","8.07","Other","North East"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Operational Excellence SEO-North East","10.26","Other","North East"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","Grade 7 - National","58185","67219","Manager - Independent Education and School Safeguarding Grade 7 (Position Vacate:28/11/2025)-North East","1.00","Other","North East"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Enterprise Data for Access and Sharing SEO-North East","11.87","Other","North East"
"Department for Education","Department for Education","Regions Group: North East","DFE-2409","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: North East SEO-North East","8.20","Other","North East"
"Department for Education","Department for Education","Assurance","DFE-2192","Grade 6 - National","70854","78241","Manager - Assurance Grade 6-North East","1.00","Other","North East"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","EO - National","31479","31479","Executive Officer - Enterprise Data for Access and Sharing EO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2375","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: Yorkshire and the Humber SEO-North East","5.60","Other","North East"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","Grade 7 - National","58185","67219","Manager - SFSO Operational Delivery - North Grade 7-North East","4.00","Other","North East"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","SEO (Senior Prof & Technical Officer) - National","48999","53884","Senior Executive Officer - Regions Group: National SEO-North East","6.82","Other","North East"
"Department for Education","Department for Education","Regions Group: North East","DFE-2409","Grade 6 - National","70854","78241","Manager - Regions Group: North East Grade 6-North East","4.00","Other","North East"
"Department for Education","Department for Education","Education Estates Legal, Land and Planning","DFE-2207","Grade 7 - National","58185","67219","Manager - Education Estates Legal, Land and Planning Grade 7-North East","5.74","Other","North East"
"Department for Education","Department for Education","Assurance","DFE-2192","HEO - National","36000","38229","Higher Executive Officer - Assurance HEO-North East","5.80","Other","North East"
"Department for Education","Department for Education","Teachers' Pension Scheme","DFE-2675","Grade 6 - National","70854","78241","Manager - Teachers' Pension Scheme Grade 6 PT (Position Vacate:31/12/2025)-North East","0.60","Other","North East"
"Department for Education","Department for Education","CSC Looked After Children Placements","DFE-2582","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Looked After Children Placements SEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","Grade 6 - National","70854","78241","Manager - Operational Excellence Grade 6-North East","1.00","Other","North East"
"Department for Education","Department for Education","Attendance","DFE-2533","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Attendance SEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Specialist Restructuring","DFE-2173","EA - National","27244","27244","Executive Assistant - Specialist Restructuring EA-North East","0.70","Other","North East"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","EO - National","31479","31479","Executive Officer - Independent Education and School Safeguarding EO-North East","12.43","Other","North East"
"Department for Education","Department for Education","Education Estates Design, Engineering, Cost and Building Technology","DFE-2208","Grade 6 - London","74528","82869","Manager - Education Estates Design, Engineering, Cost and Building Technology Grade 6-Unknown","57.96","Other","Unknown"
"Department for Education","Department for Education","Regions Group: South East","DFE-2439","Grade 7 - London","62336","72057","Manager - Regions Group: South East Grade 7-London","12.00","Other","London"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2672","Grade 7 - London","62336","72057","Manager - Regions Group: East of England Grade 7-London","8.48","Other","London"
"Department for Education","Department for Education","Construction Grants, Assurance and Response","DFE-2344","Grade 6 - London","74528","82869","Manager - Construction Grants, Assurance and Response Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","CSC Adoption, Family Justice and Alternatives to Care","DFE-2638","Grade 7 - London","62336","72057","Manager - CSC Adoption, Family Justice and Alternatives to Care Grade 7-London","2.80","Other","London"
"Department for Education","Department for Education","Sector Skills","DFE-2620","HEO - London","40132","42699","Higher Executive Officer - Sector Skills HEO-London","2.00","Other","London"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","EO - London","35438","35438","Executive Officer - SFSO Central Division EO-London","1.00","Other","London"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","Grade 6 - London","74528","82869","Manager - Schools System Accountability Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2375","Grade 7 - National","58185","67219","Manager - Regions Group: Yorkshire and the Humber Grade 7-North East","6.00","Other","North East"
"Department for Education","Department for Education","English, Maths, Music & Arts","DFE-2418","Grade 7 - London","62336","72057","Manager - English, Maths, Music & Arts Grade 7-London","7.37","Other","London"
"Department for Education","Department for Education","Teaching Workforce Teaching Analysis","DFE-2183","Grade 7 - London","62336","72057","Manager - Teaching Workforce Teaching Analysis Grade 7-London","8.64","Other","London"
"Department for Education","Department for Education","Education Estates Strategy and Policy Unit","DFE-2072","Grade 6 - London","74528","82869","Manager - Education Estates Strategy and Policy Unit Grade 6-London","4.00","Other","London"
"Department for Education","Department for Education","Schools Regulation and Quality","DFE-2212","Grade 6 - London","74528","82869","Manager - Schools Regulation and Quality Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Digital Strategy","DFE-2694","Grade 7 - London","62336","72057","Manager - Digital Strategy Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Attendance","DFE-2533","Grade 6 - London","74528","82869","Manager - Attendance Grade 6-London","1.28","Other","London"
"Department for Education","Department for Education","Financial Reporting","DFE-2454","HEO (Accountant) - London","48716","52001","Higher Executive Officer - Financial Reporting HEO-London","3.00","Other","London"
"Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","DFE-2613","HEO - London","40132","42699","Higher Executive Officer - Regions Group: Yorkshire & Humber and National CSC and BSiL HEO-London","2.00","Other","London"
"Department for Education","Department for Education","Admissions, School Organisation, Transport","DFE-2346","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Admissions, School Organisation, Transport SEO-Yorkshire and The Humber","1.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: London","DFE-2204","Grade 6 - London","74528","82869","Manager - Regions Group: London Grade 6-London","3.81","Other","London"
"Department for Education","Department for Education","Counter Extremism and Non-School Education","DFE-2398","EO - London","35438","35438","Executive Officer - Counter Extremism and Non-School Education EO-London","0.86","Other","London"
"Department for Education","Department for Education","School Strategy and System","DFE-2639","Grade 7 - National","58185","67219","Manager - School Strategy and System Grade 7-North East","2.00","Other","North East"
"Department for Education","Department for Education","Regions Group: North East","DFE-2409","HEO - National","36000","38229","Higher Executive Officer - Regions Group: North East HEO-North East","5.92","Other","North East"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","Grade 7 - National","58185","67219","Manager - Regions Group: National Grade 7-Yorkshire and The Humber","9.49","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","SEO (Information Officer) - National","48999","53884","Senior Executive Officer - Ministerial and Public Communications Division SEO-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Technology Operations","DFE-2461","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Technology Operations SEO-Yorkshire and The Humber","10.54","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Infrastructure & Platforms","DFE-2281","Grade 7 - National","58185","67219","Manager - Infrastructure & Platforms Grade 7-Yorkshire and The Humber","5.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: London","DFE-2204","HEO - London","40132","42699","Higher Executive Officer - Regions Group: London HEO-East Midlands","3.00","Other","East Midlands"
"Department for Education","Department for Education","Funding Policy Unit","DFE-2009","Grade 7 - London","62336","72057","Manager - Funding Policy Unit Grade 7-London","5.21","Other","London"
"Department for Education","Department for Education","CSC Outcomes, Care Leavers and Capital","DFE-2347","Senior Executive Officer - London","46971","51973","Senior Executive Officer - CSC Outcomes, Care Leavers and Capital SEO-London","6.32","Other","London"
"Department for Education","Department for Education","High Quality Curriculum","DFE-2324","Grade 7 - London","62336","72057","Manager - High Quality Curriculum Grade 7-London","2.44","Other","London"
"Department for Education","Department for Education","Teacher Training and Recruitment","DFE-2541","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Teacher Training and Recruitment SEO-London","5.00","Other","London"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2672","Grade 6 - London","74528","82869","Manager - Regions Group: East of England Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Early Years Markets and Strategy","DFE-2644","Grade 7 - National","58185","67219","Manager - Early Years Markets and Strategy Grade 7-Yorkshire and The Humber","1.69","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Enterprise Data for Insight SEO-North East","3.81","Other","North East"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Senior Executive Officer - London","46971","51973","Senior Executive Officer - CSC Child Protection and Safeguarding SEO (Position Vacate:31/12/2025)-London","1.00","Other","London"
"Department for Education","Department for Education","Construction Programme Management, Planning and Assurance","DFE-2623","HEO - London","40132","42699","Higher Executive Officer - Construction Programme Management, Planning and Assurance HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Digital Delivery - Schools","DFE-2664","HEO - London","40132","42699","Higher Executive Officer - Digital Delivery - Schools HEO-London","2.00","Other","London"
"Department for Education","Department for Education","Digital Delivery - Vulnerable Families & Children","DFE-2503","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Digital Delivery - Vulnerable Families & Children SEO (Position Vacate:06/10/2025)-North West","1.00","Other","North West"
"Department for Education","Department for Education","HR Business Partners, Workforce Skills and Strategy","DFE-2681","HEO - National","36000","38229","Higher Executive Officer - HR Business Partners, Workforce Skills and Strategy HEO-Yorkshire and The Humber","0.81","Other","Yorkshire and The Humber"
"Department for Education","Skills England","Regions","DFE-2197","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions SEO-Yorkshire and The Humber","3.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","Grade 7 - National","58185","67219","Manager - Independent Education and School Safeguarding Grade 7-North East","6.91","Other","North East"
"Department for Education","Department for Education","Financial Business Partnering: Schools, Families, Regions and Hub","DFE-2151","Grade 6 - National","70854","78241","Manager - Financial Business Partnering: Schools, Families, Regions and Hub Grade 6-North East","1.00","Other","North East"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","Grade 7 - National","58185","67219","Manager - Ministerial and Public Communications Division Grade 7-North West","2.00","Other","North West"
"Department for Education","Department for Education","Regions Group: East Midlands","DFE-2022","Grade 6 - National","70854","78241","Manager - Regions Group: East Midlands Grade 6-Yorkshire and The Humber","4.29","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Commercial School Resource Management (Protected) SEO-North West","6.80","Other","North West"
"Department for Education","Department for Education","CSC Adoption, Family Justice and Alternatives to Care","DFE-2638","HEO - National","36000","38229","Higher Executive Officer - CSC Adoption, Family Justice and Alternatives to Care HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2610","Grade 7 - London","62336","72057","Manager - Digital Delivery - Schools Grade 7-London","8.00","Other","London"
"Department for Education","Department for Education","Teacher Training and Recruitment","DFE-2541","HEO - London","40132","42699","Higher Executive Officer - Teacher Training and Recruitment HEO-London","3.00","Other","London"
"Department for Education","Department for Education","Technical Education & Qualification Reforms","DFE-2093","Grade 7 - National","58185","67219","Manager - Technical Education & Qualification Reform​s Grade 7-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Strategy and Care System","DFE-2671","EO - London","35438","35438","Executive Officer - CSC Portfolio and Funding EO (Position Vacate:15/10/2025)-London","0.62","Other","London"
"Department for Education","Department for Education","Private Office","DFE-2698","EO - London","35438","35438","Executive Officer - Private Office EO-London","9.00","Other","London"
"Department for Education","Department for Education","Families Analysis","DFE-2152","SEO (Senior Research Officer) - National","48999","53884","Senior Executive Officer - Families Analysis SEO-Yorkshire and The Humber","9.77","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Enterprise Data for Access and Sharing SEO-North West","6.00","Other","North West"
"Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","DFE-2637","Grade 7 - London","62336","72057","Manager - Supporting and Rewarding Teachers and Leaders Grade 7-London","10.30","Other","London"
"Department for Education","Department for Education","London & South East Place Based Team","DFE-2489","Grade 6 - London","74528","82869","Manager - London & South East Place Based Team Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Commercial Specialist - Skills SEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","SFSO Operational Delivery - South","DFE-2085","Grade 7 - London","62336","72057","Manager - SFSO Operational Delivery - South Grade 7-London","8.80","Other","London"
"Department for Education","Department for Education","High Quality Curriculum","DFE-2324","Senior Executive Officer - London","46971","51973","Senior Executive Officer - High Quality Curriculum SEO-London","3.66","Other","London"
"Department for Education","Department for Education","Growth and Skills Levy, Strategy and Engagement","DFE-2642","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Growth and Skills Levy, Strategy and Engagement SEO-London","4.00","Other","London"
"Department for Education","Department for Education","Financial Reporting","DFE-2454","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Financial Reporting SEO-London","6.00","Other","London"
"Department for Education","Department for Education","Local Accountability and Improvement","DFE-2383","Grade 6 - National","70854","78241","Manager - Local Accountability and Improvement Grade 6-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Technology Operations","DFE-2461","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Data Protection Office SEO-London","2.00","Other","London"
"Department for Education","Department for Education","CSC Adoption, Family Justice and Alternatives to Care","DFE-2638","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Adoption, Family Justice and Alternatives to Care SEO-Yorkshire and The Humber","5.60","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Delivery Unit","DFE-2501","HEO - London","40132","42699","Higher Executive Officer - Delivery Unit HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Early Years Quality, Recovery and Welfare","DFE-2240","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Early Years Quality, Recovery and Welfare SEO-London","4.64","Other","London"
"Department for Education","Department for Education","Construction Delivery North East, Yorkshire Humber and East Midlands","DFE-2603","Grade 6 - National","70854","78241","Manager - Construction Delivery North East, Yorkshire Humber and East Midlands Grade 6-Unknown","21.81","Other","Unknown"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2672","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Regions Group: East of England SEO-London","6.85","Other","London"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","HEO - London","40132","42699","Higher Executive Officer - SFSO Central Division HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Technology Operations","DFE-2461","SEO (Information Officer) - National","48999","53884","Senior Executive Officer - Data Protection Office SEO-Yorkshire and The Humber","4.90","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","EO - London","35438","35438","Executive Officer - Ministerial and Public Communications Division EO-London","17.80","Other","London"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","Grade 7 - London","62336","72057","Manager - FE Support, Improvement and Provider Engagement Grade 7-London","3.00","Other","London"
"Department for Education","Department for Education","CSC Data and Digital","DFE-2010","Grade 7 - London","62336","72057","Manager - CSC Data and Digital Grade 7-London","4.82","Other","London"
"Department for Education","Department for Education","T - Level Policy","DFE-2542","Grade 7 - London","62336","72057","Manager - T - Level Delivery ​ Grade 7-London","6.00","Other","London"
"Department for Education","Department for Education","Regions Group: East Midlands","DFE-2144","Grade 7 - National","58185","67219","Manager - Regions Group: East Midlands Grade 7-Yorkshire and The Humber","8.80","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","EO - National","31479","31479","Executive Officer - Operational Excellence EO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2672","HEO - London","40132","42699","Higher Executive Officer - Regions Group: East of England HEO-London","7.00","Other","London"
"Department for Education","Department for Education","Specialist Restructuring","DFE-2173","SEO (Accountant) - National","49615","54551","Senior Executive Officer - Specialist Restructuring SEO-North East","0.69","Other","North East"
"Department for Education","Department for Education","Construction Delivery South East and London","DFE-2673","Grade 6 - London","74528","82869","Manager - Construction Delivery South East and London Grade 6-Unknown","18.40","Other","Unknown"
"Department for Education","Department for Education","Technology Operations","DFE-2461","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Knowledge and Information Management SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: National SEO-Yorkshire and The Humber","14.56","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","Grade 7 - National","58185","67219","Manager - Central Analysis Unit Grade 7-Yorkshire and The Humber","5.61","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Adoption, Family Justice and Alternatives to Care","DFE-2638","EO - National","31479","31479","Executive Officer - CSC Adoption, Family Justice and Alternatives to Care EO-Yorkshire and The Humber","1.49","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: London","DFE-2204","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Regions Group: London SEO-London","12.25","Other","London"
"Department for Education","Department for Education","Digital Delivery - Regions","DFE-2327","Grade 7 - National","58185","67219","Manager - Digital Delivery - Regions Grade 7-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","DDT Incubator","DFE-2475","EO - London","35438","35438","Executive Officer - DDT Incubator EO-London","1.00","Other","London"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Schools System Accountability SEO-London","3.00","Other","London"
"Department for Education","Department for Education","Growth and Skills Levy, Strategy and Engagement","DFE-2642","Grade 6 - National","70854","78241","Manager - Growth and Skills Levy, Strategy and Engagement Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Life Skills","DFE-2456","Grade 7 - National","58185","67219","Manager - Life Skills Grade 7-Yorkshire and The Humber","1.75","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Specialist Sector Reform","DFE-2353","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Specialist Sector Reform SEO-Yorkshire and The Humber","0.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","DFE-2613","Grade 7 - London","62336","72057","Manager - Regions Group: Yorkshire & Humber and National CSC and BSiL Grade 7-London","1.80","Other","London"
"Department for Education","Department for Education","Central & South West Place Based Team","DFE-2508","Grade 7 - National","58185","67219","Manager - Central & South West Place Based Team Grade 7-Unknown","12.36","Other","Unknown"
"Department for Education","Department for Education","Regions Group: North West","DFE-2514","Grade 7 - National","58185","67219","Manager - Regions Group: North West Grade 7-North West","11.70","Other","North West"
"Department for Education","Department for Education","Skills Policy Analysis​","DFE-2520","SEO (Statistical Officer) - London","52799","58810","Senior Executive Officer - Skills Policy Analysis​ SEO-London","9.90","Other","London"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","Grade 6 - National","70854","78241","Manager - Enterprise Data for Insight Grade 6-East Of England","1.00","Other","East Of England"
"Department for Education","Department for Education","Schools Digital","DFE-2504","Grade 7 - National","58185","67219","Manager - Schools Digital Grade 7-Yorkshire and The Humber","12.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Regions Group: National Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","EO - London","35438","35438","Executive Officer - Regions Group: National EO-London","3.00","Other","London"
"Department for Education","Department for Education","Specialist Sector Reform","DFE-2353","HEO - London","40132","42699","Higher Executive Officer - Specialist Sector Reform EO-London","1.00","Other","London"
"Department for Education","Department for Education","CSC Outcomes, Care Leavers and Capital","DFE-2347","HEO - London","40132","42699","Higher Executive Officer - CSC Outcomes, Care Leavers and Capital HEO-London","1.69","Other","London"
"Department for Education","Department for Education","Technology Directorate","DFE-2553","EO - London","35438","35438","Executive Officer - Data Protection Office EO-London","0.58","Other","London"
"Department for Education","Department for Education","Financial Business Partnering: Skills, OIG and Strategy","DFE-2652","SEO (Accountant) - London","54100","59478","Senior Executive Officer - Financial Business Partnering: Skills, OIG and Strategy SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Regions Group: South East","DFE-2439","Grade 6 - London","74528","82869","Manager - Regions Group: South East Grade 6-London","4.00","Other","London"
"Department for Education","Department for Education","Construction Delivery North East, Yorkshire Humber and East Midlands","DFE-2603","Grade 7 - National","58185","67219","Manager - Construction Delivery North East, Yorkshire Humber and East Midlands Grade 7-Unknown","23.37","Other","Unknown"
"Department for Education","Department for Education","Behaviour, Exclusions and School Food","DFE-2662","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Behaviour, Exclusions and School Food SEO-North East","1.81","Other","North East"
"Department for Education","Department for Education","Admissions, School Organisation, Transport","DFE-2346","Grade 6 - London","74528","82869","Manager - Admissions, School Organisation, Transport Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Construction Delivery East England, South West and London","DFE-2003","Grade 6 - London","74528","82869","Manager - Construction Delivery East England, South West and London Grade 6-London","3.86","Other","London"
"Department for Education","Department for Education","Higher Education Strategy and Portfolio","DFE-2239","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Higher Education Strategy and Portfolio SEO-North West","2.91","Other","North West"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2672","Grade 6 - National","70854","78241","Manager - Regions Group: East of England Grade 6-East Of England","0.89","Other","East Of England"
"Department for Education","Department for Education","North Place Based Team & ESF","DFE-2332","Senior Executive Officer - National","42806","47047","Senior Executive Officer - North Place Based Team & ESF SEO-Unknown","3.00","Other","Unknown"
"Department for Education","Department for Education","CSC Serious Incidents and National Safeguarding Panel","DFE-2299","HEO - London","40132","42699","Higher Executive Officer - CSC Serious Incidents and National Safeguarding Panel HEO-London","1.53","Other","London"
"Department for Education","Department for Education","Behaviour, Exclusions and School Food","DFE-2662","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Behaviour, Exclusions and School Food SEO-London","4.80","Other","London"
"Department for Education","Department for Education","Independent Market Oversight","DFE-2507","Grade 7 - National","58185","67219","Manager - Independent Market Oversight Grade 7-Unknown","9.76","Other","Unknown"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2672","HEO - National","36000","38229","Higher Executive Officer - Regions Group: East of England HEO-East Of England","4.12","Other","East Of England"
"Department for Education","Department for Education","HR Organisation Design, Development & Engagement","DFE-2407","HEO - National","36000","38229","Higher Executive Officer - HR Organisation Design, Development & Engagement HEO-North West","0.81","Other","North West"
"Department for Education","Standard and Testing Agency","Assessment Research and Development","DFE-2535","HEO - National","36000","38229","Higher Executive Officer - Assessment Research and Development HEO-West Midlands","5.02","Other","West Midlands"
"Department for Education","Department for Education","School Strategy and System","DFE-2639","Grade 7 - National","58185","67219","Manager - School Strategy and System Grade 7-Yorkshire and The Humber","4.45","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2610","Grade 7 - National","58185","67219","Manager - Digital Delivery - Schools Grade 7-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Central Capital Unit","DFE-2228","Grade 6 - London","74528","82869","Manager - Central Capital Unit Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","EO - National","31479","31479","Executive Officer - Commercial Specialist - Schools EO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Customer Experience & Design","DFE-2478","HEO - National","36000","38229","Higher Executive Officer - Customer Experience & Design HEO-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Construction Delivery North West and West Midlands","DFE-2646","Grade 6 - National","70854","78241","Manager - Construction Delivery North West and West Midlands Grade 6-Unknown","20.59","Other","Unknown"
"Department for Education","Department for Education","Construction Delivery South East and London","DFE-2222","Grade 6 - National","70854","78241","Manager - Construction Programme Management, Planning and Assurance Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","Grade 6 - National","70854","78241","Manager - SFSO Central Division Grade 6-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","Grade 7 - National","58185","67219","Manager - Education Estates Data Collection and Analysis Grade 7-North West","2.00","Other","North West"
"Department for Education","Department for Education","Social Justice and Disadvantage","DFE-2519","Grade 7 - London","62336","72057","Manager - Social Justice and Disadvantage Grade 7-London","3.45","Other","London"
"Department for Education","Department for Education","Strategy and Portfolio","DFE-2277","Grade 7 - London","62336","72057","Manager - Strategy and Portfolio Grade 7-London","3.00","Other","London"
"Department for Education","Department for Education","Teacher Training and Recruitment","DFE-2541","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Teacher Training and Recruitment SEO-North West","7.00","Other","North West"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","Grade 7 - National","58185","67219","Manager - Regions Group: National Grade 7-North East","2.00","Other","North East"
"Department for Education","Department for Education","Assurance","DFE-2192","Grade 7 - National","58185","67219","Manager - Assurance Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Technology Operations","DFE-2461","EO - National","31479","31479","Executive Officer - Technology Operations EO-North East","2.00","Other","North East"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","HEO - London","40132","42699","Higher Executive Officer - Enterprise Data for Access and Sharing HEO-London","0.60","Other","London"
"Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","DFE-2637","HEO - London","40132","42699","Higher Executive Officer - Supporting and Rewarding Teachers and Leaders HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Strategic Policy Directorate (SPD)","DFE-2517","EO - London","35438","35438","Executive Officer - Strategic Policy Directorate (SPD) - Directorate Support Team EO-London","3.55","Other","London"
"Department for Education","Department for Education","International Strategy & Partnerships","DFE-2432","Senior Executive Officer - London","46971","51973","Senior Executive Officer - International Evidence and Trade SEO-London","2.00","Other","London"
