"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Attendance","DFE-2533","HEO - National","36000","38229","Higher Executive Officer - Attendance HEO-North East","0.80","Other","North East"
"Department for Education","Standard and Testing Agency","Assessment Research and Development","DFE-2535","EO - London","35438","35438","Executive Officer - Assessment Research and Development EO-London","2.00","Other","London"
"Department for Education","Department for Education","English, Maths, Music & Arts","DFE-2418","HEO - National","36000","38229","Higher Executive Officer - English, Maths, Music & Arts SEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Education Estates Strategy and Policy Unit","DFE-2072","HEO - London","40132","42699","Higher Executive Officer - Education Estates Strategy and Policy Unit HEO-London","0.79","Other","London"
"Department for Education","Department for Education","Behaviour, Exclusions and School Food","DFE-2662","Grade 7 - National","58185","67219","Manager - Behaviour, Exclusions and School Food Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","HR Organisation Design, Development & Engagement","DFE-2407","Senior Executive Officer - National","42806","47047","Senior Executive Officer - HR Organisation Design, Development & Engagement SEO-Yorkshire and The Humber","1.47","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Infrastructure & Platforms","DFE-2281","Grade 6 - National","70854","78241","Manager - Infrastructure & Platforms Grade 6-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Developing Teachers and Leaders SEO-London","2.00","Other","London"
"Department for Education","Department for Education","Regions Group: London","DFE-2204","Grade 6 - London","74528","82869","Manager - Regions Group: London Grade 6-East Midlands","0.82","Other","East Midlands"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","EO - London","35438","35438","Executive Officer - FE Support, Improvement and Provider Engagement EO-London","2.00","Other","London"
"Department for Education","Department for Education","Further Education Oversight","DFE-2019","Grade 6 - London","74528","82869","Manager - FE Overight Grade 6-London","0.80","Other","London"
"Department for Education","Department for Education","Strategic Analysis, Research, Data, Intelligence & Science (SARDIS)","DFE-2534","HEO - National","36000","38229","Higher Executive Officer - Strategy and Delivery Directorate HEO-Yorkshire and The Humber","0.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Improvement and Insight","DFE-2223","HEO - National","36000","38229","Higher Executive Officer - Improvement and Insight HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Technology Operations","DFE-2461","EO - London","35438","35438","Executive Officer - Technology Operations EO-London","3.00","Other","London"
"Department for Education","Department for Education","Technology Operations","DFE-2461","EO - National","31479","31479","Executive Officer - Technology Operations EO-North West","9.00","Other","North West"
"Department for Education","Department for Education","SEND Strategy","DFE-2571","Senior Executive Officer - National","42806","47047","Senior Executive Officer - SEND Strategy SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Further Education Funding","DFE-2100","Grade 6 - National","70854","78241","Manager - FE Funding Grade 6-West Midlands","0.91","Other","West Midlands"
"Department for Education","Department for Education","Construction Delivery South East and London","DFE-2222","HEO - London","40132","42699","Higher Executive Officer - Construction Delivery East England, South West and London SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Cyber and Information Security (CISO)","DFE-2485","Grade 7 - National","58185","67219","Manager - Cyber and Information Security (CISO) Grade 7-North East","4.00","Other","North East"
"Department for Education","Department for Education","Higher Education Funding Integrity","DFE-2605","Grade 7 - London","62336","72057","Manager - Higher Education Funding Integrity Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","CSC Serious Incidents and National Safeguarding Panel","DFE-2299","EA - London","30551","30551","Executive Assistant - CSC Serious Incidents and National Safeguarding Panel EA-London","1.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","HEO - National","36000","38229","Higher Executive Officer - Commercial School Resource Management (Protected) HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Financial Business Partnering: Skills, OIG and Strategy","DFE-2652","Grade 7 - London","62336","72057","Manager - Financial Business Partnering: Skills, OIG and Strategy Grade 7-London","4.00","Other","London"
"Department for Education","Department for Education","T - Level Delivery ​","DFE-2626","EO - National","31479","31479","Executive Officer - T - Level Delivery ​ EO-Yorkshire and The Humber","1.48","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","International Evidence and Trade","DFE-2470","Grade 6 - National","70854","78241","Manager - International Evidence and Trade Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Education Estates Portfolio Oversight and Directorate Support","DFE-2648","Grade 7 - National","58185","67219","Manager - Education Estates Portfolio Oversight and Directorate Support Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","Grade 6 - London","74528","82869","Manager - Independent Education and School Safeguarding Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","International Strategy & Partnerships","DFE-2432","EO - London","35438","35438","Executive Officer - International Strategy & Partnerships EO-London","1.00","Other","London"
"Department for Education","Department for Education","Social Justice and Disadvantage","DFE-2519","Grade 6 - London","74528","82869","Manager - Social Justice and Disadvantage Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Inclusive Mainstream","DFE-2647","Grade 6 - National","70854","78241","Manager - Inclusive Mainstream Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","EA - London","30551","30551","Executive Assistant - Commercial Specialist - Skills EA-London","0.58","Other","London"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","HEO - London","40132","42699","Higher Executive Officer - Developing Teachers and Leaders HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Higher Education Strategy and Portfolio","DFE-2239","EO - London","35438","35438","Executive Officer - Higher Education Strategy and Portfolio EO-London","3.00","Other","London"
